ID,Name,Category,Quantity,Price
M001,Paracetamol,Pain Reliever,100,5.00
M002,Ibuprofen,Pain Reliever,150,8.00
M003,Amoxicillin,Antibiotic,200,10.00
M004,Metformin,Diabetes,90,4.00
M005,Atorvastatin,Cholesterol,120,10.00
M006,Lisinopril,Antihypertensive,80,5.00
M007,Amlodipine,Antihypertensive,50,7.00
M008,Omeprazole,Antacid,60,12.00
M009,Simvastatin,Cholesterol,90,12.00
M010,Levothyroxine,Thyroid Hormones,70,20.00
M011,Warfarin,Blood Thinner,40,30.00
M012,Hydrochlorothiazide,Diuretic,100,6.00
M013,Sertraline,Antidepressant,80,15.00
M014,Albuterol,Bronchodilator,120,25.00
M015,Fluticasone,Nasal Spray,200,30.00
M016,Montelukast,Leukotriene Modifiers,90,18.00
M017,Prednisone,Corticosteroid,50,22.00
M018,Ranitidine,Antacid,150,5.00
M019,Clopidogrel,Blood Thinner,40,25.00
M020,Digoxin,Heart Medication,30,35.00
M021,Metoprolol,Antihypertensive,70,10.00
M022,Quetiapine,Antipsychotic,60,20.00
M023,Sitagliptin,Diabetes,80,22.00
M024,Pioglitazone,Diabetes,90,25.00
M025,Buspirone,Anxiolytic,60,20.00
M026,Clonidine,Antihypertensive,70,14.00
M027,Isosorbide,Antianginal,40,10.00
M028,Montelukast,Leukotriene Modifiers,80,18.00
M029,Celecoxib,Anti-inflammatory,120,22.00
M030,Methotrexate,Cancer Treatment,50,45.00
M031,Levothyroxine,Thyroid Hormones,140,20.00
M032,Probenecid,Gout Medication,60,25.00
M033,Allopurinol,Gout Medication,70,20.00
M034,Naproxen,Anti-inflammatory,80,10.00
M035,Diclofenac,Anti-inflammatory,100,12.00
M036,Ezetimibe,Cholesterol,60,15.00
M037,Alendronate,Osteoporosis,40,25.00
M038,Calcium,Ca Supplements,120,10.00
M039,Vitamin D,Vitamins,150,5.00
M040,Vitamin C,Vitamins,200,4.00
M041,Iron Supplements,Iron Supplements,250,8.00
M042,Melatonin,Sleep Aids,70,15.00
M043,Omega 3,Fish Oil,90,12.00
M044,Glucosamine,Joint Care,50,30.00
M045,Chondroitin,Joint Care,60,28.00
M046,CoQ10,Heart Health,40,25.00
M047,Turmeric,Anti-inflammatory,70,20.00
M048,Ginger,Anti-inflammatory,60,15.00
M049,Probiotic,Digestive Health,80,18.00
M050,Magnesium,Supplements,90,10.00
M051,Flaxseed,Health Supplements,110,8.00
M052,Cinnamon,Health Supplements,120,7.00
M053,Chamomile,Herbal,150,5.00
M054,Echinacea,Herbal,130,10.00
M055,Ginseng,Herbal,40,20.00
M056,St. John's Wort,Herbal,60,15.00
M057,Hibiscus,Herbal,50,12.00
M058,Milk Thistle,Liver Health,70,20.00
M059,Cranberry,Health Supplements,80,15.00
M060,Propolis,Health Supplements,30,25.00
M061,Aloe Vera,Health Supplements,100,8.00
